Date,Store,Category,Customer_ID,Revenue,Units,Member,Availability_Pct
2025-08-30,Camden,Fruit & Veg,3569,27.18,6,Yes,93.7
2025-12-12,London Central,Fresh Food,3628,38.34,2,Yes,94.2
2025-12-06,Reading,Fresh Food,2876,36.46,4,Yes,94.8
2025-04-02,London Central,Own Brand,5994,29.51,3,Yes,96.4
2026-01-02,Croydon,Own Brand,2067,59.46,7,No,94.5
2026-03-31,Croydon,Fresh Food,2506,13.62,4,No,96.0
2026-03-04,Camden,Own Brand,4013,53.3,1,Yes,94.2
2026-05-24,Reading,Chilled,2667,58.72,4,No,93.6
2025-02-04,Bristol,Own Brand,5588,38.35,5,Yes,97.2
2025-07-25,Reading,Snacks,5700,9.61,4,Yes,95.6
2025-03-22,Croydon,Soft Drinks,5066,20.13,5,No,96.5
2026-01-23,Bristol,Soft Drinks,1947,27.18,2,Yes,94.6
2025-01-02,Reading,Chilled,5389,40.62,6,Yes,96.6
2026-01-25,Reading,Food To Go,2171,56.99,5,No,92.9
2025-04-16,Bristol,Chilled,1171,22.02,4,Yes,93.2
2026-04-22,Croydon,Snacks,5626,40.04,6,Yes,96.9
2026-02-06,Reading,Fresh Food,2143,15.67,7,No,94.9
2025-06-11,Bristol,Chilled,2859,64.11,6,No,94.5
2025-07-21,Birmingham,Fresh Food,3188,21.02,4,No,93.2
2025-09-27,Birmingham,Snacks,3493,36.71,4,Yes,96.6
2025-09-28,Croydon,Meal Deals,4577,39.69,7,Yes,98.7
2026-04-01,Bristol,Snacks,1188,39.78,1,Yes,96.2
2026-04-07,Birmingham,Fruit & Veg,5076,20.9,2,Yes,94.1
2025-09-09,Bristol,Fresh Food,1157,31.81,5,Yes,97.8
2025-10-23,Reading,Soft Drinks,3717,21.6,3,No,95.7
2025-12-04,Croydon,Chilled,2970,38.66,5,Yes,94.1
2025-02-22,Birmingham,Meal Deals,1245,25.85,4,Yes,97.6
2025-08-05,Reading,Snacks,3903,35.73,3,Yes,94.6
2025-07-07,London Central,Fresh Food,3795,42.96,3,No,92.1
2026-01-15,London Central,Meal Deals,4824,34.38,5,No,94.4
2026-05-08,Croydon,Food To Go,3377,31.98,7,No,96.1
2025-02-10,Birmingham,Fruit & Veg,1849,26.46,5,Yes,93.6
2025-06-06,Birmingham,Food To Go,2810,34.84,5,Yes,91.3
2025-01-15,Birmingham,Snacks,4986,22.94,5,Yes,97.9
2025-03-06,Bristol,Food To Go,3126,45.69,7,No,101.0
2025-12-10,Reading,Food To Go,5264,39.85,7,Yes,94.0
2025-05-09,Birmingham,Fruit & Veg,4030,37.11,2,Yes,93.7
2026-04-17,Reading,Fruit & Veg,3307,75.14,1,Yes,92.3
2025-03-04,Croydon,Own Brand,4076,67.07,1,Yes,93.4
2025-05-19,Birmingham,Fruit & Veg,3344,19.35,5,Yes,91.9
2026-05-14,Croydon,Meal Deals,1619,45.69,1,Yes,92.4
2026-01-27,Birmingham,Own Brand,3902,34.13,5,Yes,95.0
2026-02-23,London Central,Fruit & Veg,3407,41.64,5,Yes,91.8
2025-10-16,Camden,Food To Go,5452,28.86,5,Yes,92.1
2026-01-14,Croydon,Soft Drinks,4004,34.58,6,No,95.4
2026-05-05,Birmingham,Soft Drinks,4914,28.35,2,Yes,93.8
2025-08-19,Camden,Own Brand,3486,19.43,4,No,95.7
2025-02-10,Croydon,Fruit & Veg,4402,69.08,1,Yes,94.3
2025-01-28,Bristol,Meal Deals,4596,12.91,1,Yes,94.6
2025-05-15,Birmingham,Chilled,2677,17.47,2,No,96.6
2025-07-20,Bristol,Fresh Food,5039,20.69,2,No,93.9
2025-02-02,London Central,Snacks,2304,60.62,5,No,96.4
2025-02-17,Birmingham,Meal Deals,5093,36.13,5,Yes,94.2
2026-05-18,London Central,Chilled,2963,21.73,6,Yes,93.4
2026-02-11,Camden,Snacks,4307,32.42,6,Yes,92.9
2025-04-09,Croydon,Chilled,2361,56.78,4,Yes,91.7
2026-04-07,Reading,Chilled,5294,67.14,1,Yes,92.5
2025-01-05,London Central,Own Brand,2787,35.96,2,Yes,91.5
2025-08-06,Reading,Soft Drinks,2073,33.61,4,Yes,93.0
2026-05-18,Reading,Fresh Food,2165,30.76,1,No,96.6
2026-02-02,Croydon,Chilled,4599,19.89,4,No,95.0
2026-01-28,Camden,Fruit & Veg,3717,41.25,4,Yes,94.2
2025-07-26,Croydon,Snacks,4153,24.0,7,No,93.6
2025-01-15,Birmingham,Meal Deals,5126,26.74,5,No,94.8
2026-04-06,London Central,Soft Drinks,4055,52.16,4,Yes,95.1
2025-08-29,Reading,Snacks,1659,56.02,5,Yes,92.8
2025-04-06,Croydon,Own Brand,5642,13.4,1,No,95.9
2026-04-30,Croydon,Fruit & Veg,3582,49.51,6,Yes,94.3
2026-02-11,Croydon,Fruit & Veg,2129,40.04,1,No,95.6
2025-08-19,London Central,Chilled,3274,56.29,5,Yes,94.9
2025-06-20,Camden,Fruit & Veg,5466,36.5,6,Yes,92.2
2025-02-05,Croydon,Fresh Food,2468,33.11,7,No,97.6
2025-06-09,London Central,Own Brand,3102,40.66,3,No,95.0
2025-08-31,Reading,Fruit & Veg,4266,19.11,6,Yes,94.3
2025-03-27,Birmingham,Chilled,3471,50.16,4,No,96.2
2025-01-28,Bristol,Snacks,2151,31.31,1,Yes,92.7
2025-12-06,London Central,Own Brand,1092,26.85,7,No,91.9
2025-11-27,Bristol,Fruit & Veg,3566,23.26,4,No,96.1
2026-05-21,Croydon,Soft Drinks,2281,45.36,7,Yes,97.3
2025-12-14,Croydon,Own Brand,3900,58.51,6,Yes,95.6
2026-04-18,London Central,Own Brand,3799,46.4,3,Yes,96.6
2025-08-19,Bristol,Meal Deals,4177,36.71,4,Yes,92.5
2025-07-09,Croydon,Soft Drinks,5511,37.83,3,Yes,94.3
2025-08-13,Reading,Soft Drinks,3604,32.28,2,No,93.7
2026-01-20,Camden,Snacks,4881,58.05,3,Yes,97.1
2026-01-12,Camden,Food To Go,3413,34.04,1,Yes,96.0
2025-10-10,Croydon,Meal Deals,2544,55.53,6,No,97.1
2025-09-16,Bristol,Soft Drinks,4530,27.78,5,Yes,93.8
2025-12-25,Birmingham,Soft Drinks,3646,74.39,5,Yes,92.7
2026-04-01,Croydon,Food To Go,5784,35.02,4,Yes,97.7
2026-02-15,Birmingham,Snacks,3058,45.65,6,No,95.1
2025-11-14,Birmingham,Meal Deals,5514,14.61,7,Yes,97.1
2025-08-13,Bristol,Soft Drinks,2145,52.62,2,No,94.9
2025-08-22,Birmingham,Chilled,1910,20.91,4,Yes,99.4
2026-01-09,Reading,Snacks,4306,67.53,3,No,97.4
2026-04-17,Bristol,Meal Deals,2566,37.28,5,No,94.7
2025-08-21,Croydon,Soft Drinks,3395,21.49,3,No,95.0
2025-04-23,Reading,Soft Drinks,4005,34.29,5,Yes,95.0
2026-05-12,London Central,Food To Go,5507,45.34,5,Yes,92.7
2026-03-18,Camden,Meal Deals,5248,53.32,5,No,94.0
2025-09-25,Croydon,Chilled,1091,49.94,6,Yes,93.9
2026-05-25,Croydon,Snacks,4992,51.48,7,Yes,95.5
2026-01-21,Croydon,Fruit & Veg,1330,26.55,7,No,93.4
2026-01-22,Reading,Fresh Food,1954,21.62,7,No,94.7
2025-04-23,London Central,Chilled,4780,29.65,1,Yes,94.3
2025-03-22,Bristol,Fruit & Veg,3601,18.33,6,No,95.2
2025-04-23,London Central,Chilled,3977,15.84,3,No,97.9
2025-01-02,Reading,Meal Deals,5289,27.63,7,Yes,97.2
2025-08-08,Croydon,Fruit & Veg,1529,69.81,6,No,92.4
2025-08-13,Camden,Meal Deals,3892,63.8,7,No,94.9
2026-01-20,Croydon,Fruit & Veg,2266,18.73,4,No,94.4
2026-02-07,Bristol,Chilled,2473,30.0,2,Yes,93.7
2025-05-10,Birmingham,Food To Go,5734,48.92,4,No,99.3
2025-02-22,Camden,Chilled,2597,35.63,6,Yes,93.9
2026-02-20,Croydon,Meal Deals,3525,42.88,3,Yes,94.1
2025-09-04,Camden,Chilled,5793,11.98,2,No,98.5
2026-03-15,Birmingham,Own Brand,4761,49.54,4,Yes,96.9
2025-07-22,London Central,Own Brand,3742,47.11,2,Yes,94.1
2025-07-03,Reading,Fruit & Veg,5635,12.23,3,Yes,96.5
2025-05-03,Croydon,Own Brand,5425,22.97,5,Yes,94.5
2026-02-05,Bristol,Fresh Food,1469,22.4,3,Yes,94.7
2025-10-21,London Central,Fruit & Veg,4830,18.6,7,Yes,93.4
2025-10-07,Croydon,Own Brand,1533,14.71,1,No,90.1
2025-07-17,London Central,Soft Drinks,5562,19.77,2,Yes,92.2
2026-05-26,Bristol,Chilled,5055,28.44,3,No,92.8
2025-05-24,Croydon,Snacks,4679,37.97,5,No,95.8
2025-07-20,Birmingham,Chilled,5087,31.16,5,Yes,95.3
2025-05-04,Birmingham,Own Brand,1761,61.8,3,Yes,97.2
2025-07-06,Bristol,Food To Go,1890,17.96,4,No,92.6
2025-11-22,Camden,Meal Deals,3355,12.36,3,No,98.6
2026-04-09,Bristol,Snacks,2955,31.02,5,Yes,98.4
2025-12-15,Camden,Fruit & Veg,3971,12.91,3,No,95.1
2026-02-07,Croydon,Food To Go,2672,23.71,1,Yes,93.6
2025-12-12,Camden,Chilled,3836,38.55,4,Yes,93.7
2026-05-26,Croydon,Own Brand,5927,41.95,3,Yes,95.4
2025-05-27,Croydon,Fruit & Veg,5939,24.41,5,Yes,98.8
2025-05-28,Reading,Fruit & Veg,4644,44.7,3,Yes,94.8
2026-05-04,Croydon,Soft Drinks,3297,17.18,7,No,91.8
2025-12-04,Camden,Soft Drinks,5061,40.26,3,No,98.8
2026-04-18,Reading,Own Brand,4166,14.48,2,Yes,94.2
2025-05-31,Reading,Own Brand,2319,104.61,3,No,97.9
2026-02-19,Croydon,Fresh Food,1183,55.27,1,No,96.3
2025-10-25,Bristol,Soft Drinks,2283,23.29,5,Yes,94.7
2025-09-20,Bristol,Meal Deals,3846,35.83,6,Yes,96.9
2025-05-24,Birmingham,Snacks,3233,20.49,2,No,93.5
2025-12-12,Reading,Fruit & Veg,5088,45.43,6,No,94.4
2025-01-02,Croydon,Soft Drinks,2432,57.98,3,Yes,93.9
2025-10-31,Bristol,Own Brand,4140,59.79,7,No,94.6
2025-09-11,Croydon,Fresh Food,2796,58.06,4,Yes,96.1
2026-03-29,Croydon,Own Brand,5722,54.37,1,Yes,96.1
2025-02-06,Reading,Own Brand,3055,40.56,1,Yes,91.9
2025-06-09,Birmingham,Own Brand,4336,35.74,7,No,93.9
2025-01-09,Reading,Chilled,1782,31.67,1,Yes,94.3
2025-08-21,London Central,Snacks,2507,24.52,7,Yes,96.2
2025-04-09,Bristol,Soft Drinks,5870,30.37,2,Yes,92.2
2025-07-27,Bristol,Fruit & Veg,4854,28.9,7,No,96.4
2025-05-11,Bristol,Chilled,1676,17.99,7,No,92.7
2026-02-08,Camden,Own Brand,2830,31.57,3,Yes,95.5
2025-06-01,Croydon,Meal Deals,5090,33.01,1,No,97.2
2025-02-23,Reading,Fruit & Veg,5306,20.11,3,Yes,92.5
2025-04-30,Bristol,Chilled,2360,50.55,4,Yes,95.5
2026-02-24,London Central,Meal Deals,5585,39.63,7,Yes,94.6
2026-02-26,Bristol,Meal Deals,3686,18.95,3,Yes,93.0
2025-04-14,Birmingham,Snacks,1190,38.68,6,Yes,92.6
2025-09-11,Croydon,Fruit & Veg,1842,27.61,3,No,93.6
2025-08-15,Croydon,Soft Drinks,1334,31.29,3,No,93.4
2025-04-22,Reading,Soft Drinks,2110,35.23,7,No,94.6
2026-05-25,Camden,Fresh Food,1578,61.09,5,No,94.1
2026-04-18,Reading,Chilled,1061,27.95,6,No,95.8
2025-04-09,Bristol,Fresh Food,1386,41.37,2,Yes,96.6
2025-06-02,Birmingham,Food To Go,2169,25.51,7,No,91.9
2025-12-04,London Central,Soft Drinks,3200,49.6,3,No,94.5
2025-06-12,Reading,Chilled,5714,41.94,1,No,93.1
2025-06-10,Camden,Snacks,2683,32.52,7,Yes,92.8
2026-02-02,Reading,Fresh Food,1486,57.19,5,Yes,91.9
2025-10-04,Croydon,Snacks,4732,80.82,3,No,91.7
2026-05-19,Bristol,Snacks,1540,32.57,5,No,94.0
2026-01-27,Bristol,Own Brand,3060,41.79,2,Yes,95.8
2025-05-15,Bristol,Own Brand,5246,35.73,7,No,95.8
2025-07-14,Bristol,Snacks,2238,108.19,5,Yes,92.9
2026-02-05,Bristol,Fresh Food,1990,32.83,1,No,92.7
2025-02-02,Bristol,Own Brand,5467,26.89,3,Yes,95.5
2026-04-05,London Central,Food To Go,3299,28.16,1,Yes,94.1
2026-04-15,Camden,Meal Deals,4907,57.51,7,Yes,96.8
2026-01-10,Bristol,Meal Deals,5288,52.03,7,Yes,92.8
2025-01-22,Camden,Own Brand,2080,50.29,4,Yes,91.3
2025-02-07,Birmingham,Fresh Food,1197,52.53,5,No,96.2
2025-08-18,Bristol,Meal Deals,3194,52.5,5,No,91.2
2025-12-31,Reading,Fruit & Veg,2598,41.1,5,Yes,92.1
2026-03-14,Bristol,Meal Deals,2600,41.25,6,No,93.7
2025-10-10,Croydon,Soft Drinks,4692,27.78,7,Yes,94.4
2025-01-27,London Central,Fresh Food,4865,31.89,7,Yes,96.2
2025-08-14,Reading,Own Brand,1683,53.12,2,Yes,93.0
2025-10-04,Reading,Own Brand,4083,24.02,6,Yes,97.6
2025-10-11,Croydon,Meal Deals,4989,36.92,1,No,92.0
2026-04-26,Bristol,Fresh Food,1332,28.81,7,Yes,94.3
2026-03-29,London Central,Food To Go,2771,22.48,4,No,96.7
2026-05-31,Reading,Fruit & Veg,5200,78.74,2,No,96.8
2025-07-11,London Central,Own Brand,3721,43.89,2,No,89.1
2025-02-18,Reading,Fresh Food,1806,25.93,3,No,100.4
2026-05-27,Bristol,Own Brand,2064,90.37,7,No,94.4
2025-01-17,Birmingham,Own Brand,1888,20.53,4,No,95.6
2025-06-21,Reading,Soft Drinks,3923,81.19,7,Yes,94.3
2025-08-08,Birmingham,Meal Deals,1320,40.01,5,Yes,99.3
2025-06-07,Reading,Soft Drinks,4957,26.17,6,No,97.6
2026-04-22,Camden,Meal Deals,3382,19.9,5,Yes,99.2
2025-02-15,Bristol,Own Brand,4231,50.24,7,No,95.9
2026-01-08,Croydon,Fresh Food,3311,65.44,3,Yes,96.8
2025-04-09,Birmingham,Snacks,4601,18.29,6,Yes,92.9
2025-02-06,Croydon,Meal Deals,2500,13.8,5,Yes,94.5
2025-10-07,Bristol,Snacks,2568,41.69,1,No,96.8
2025-12-15,Croydon,Fruit & Veg,4281,32.22,5,Yes,95.6
2026-05-12,Bristol,Soft Drinks,2519,39.94,7,Yes,95.2
2025-10-29,Croydon,Snacks,2918,28.72,6,Yes,93.4
2025-06-30,Birmingham,Soft Drinks,5089,18.37,1,Yes,97.3
2025-04-09,Camden,Meal Deals,2865,33.67,3,Yes,97.3
2025-04-26,Croydon,Meal Deals,2405,68.42,3,Yes,97.1
2025-07-10,Birmingham,Fruit & Veg,3723,40.12,1,Yes,95.6
2025-09-10,Reading,Meal Deals,1004,20.46,6,Yes,95.0
2025-06-10,Bristol,Own Brand,2168,57.5,6,No,97.2
2025-09-13,London Central,Fruit & Veg,3398,21.59,5,No,96.9
2025-11-19,London Central,Snacks,3630,20.86,3,Yes,93.2
2025-05-08,Bristol,Meal Deals,1347,69.0,3,Yes,95.6
2025-01-18,Camden,Fresh Food,5220,25.02,1,Yes,96.3
2025-11-19,Croydon,Chilled,2813,52.91,3,No,93.7
2025-10-15,Camden,Food To Go,4342,68.56,7,Yes,96.8
2025-06-04,London Central,Own Brand,3574,31.05,5,Yes,96.4
2026-05-05,Birmingham,Chilled,4825,53.11,3,Yes,94.2
2026-01-21,Bristol,Chilled,5593,49.7,1,Yes,92.3
2025-04-14,Bristol,Soft Drinks,1052,18.35,5,Yes,96.2
2026-01-28,Camden,Own Brand,1148,36.94,4,No,98.9
2025-09-03,Birmingham,Own Brand,1502,34.82,1,No,95.5
2025-06-25,Camden,Fruit & Veg,1869,34.33,4,No,96.3
2025-02-08,Croydon,Soft Drinks,4521,32.72,3,Yes,92.7
2026-04-22,Reading,Snacks,5314,40.03,5,No,94.9
2026-02-12,Birmingham,Food To Go,4871,42.97,3,Yes,94.8
2026-05-21,Reading,Snacks,2300,39.23,5,Yes,93.2
2025-02-05,Croydon,Fresh Food,3499,37.32,2,No,95.9
2025-01-20,Reading,Food To Go,5033,27.24,3,No,95.8
2025-11-17,London Central,Soft Drinks,4289,74.11,3,Yes,94.4
2026-05-27,Reading,Meal Deals,5833,19.5,3,Yes,95.0
2026-02-04,Croydon,Meal Deals,4853,5.3,6,Yes,99.1
2026-04-16,Reading,Soft Drinks,3451,42.15,1,No,93.8
2025-05-23,Bristol,Snacks,5385,27.28,6,Yes,92.7
2025-04-02,Camden,Soft Drinks,1338,40.19,5,Yes,92.7
2025-12-20,London Central,Soft Drinks,3824,19.79,5,Yes,95.5
2025-02-20,Bristol,Chilled,2693,81.0,5,Yes,89.9
2025-07-09,Bristol,Fresh Food,1986,80.46,1,Yes,94.0
2025-05-05,Croydon,Own Brand,4490,53.82,5,No,93.1
2025-05-30,Camden,Meal Deals,3733,38.15,6,Yes,94.9
2025-11-10,Camden,Chilled,4767,27.94,7,No,94.9
2025-12-08,Birmingham,Soft Drinks,5076,31.32,6,Yes,95.7
2025-11-01,London Central,Fruit & Veg,3006,90.37,7,No,96.2
2025-02-23,Croydon,Chilled,4107,53.87,3,No,97.3
2026-03-20,London Central,Soft Drinks,5468,10.54,4,Yes,94.3
2025-09-21,Birmingham,Meal Deals,4330,80.6,7,No,93.7
2025-02-22,Reading,Own Brand,4041,14.5,2,Yes,96.7
2025-01-05,Bristol,Soft Drinks,1530,41.69,5,Yes,91.7
2025-04-13,London Central,Fresh Food,1923,35.83,1,Yes,96.5
2025-07-15,Bristol,Snacks,5118,62.76,7,Yes,95.3
2025-12-16,Croydon,Food To Go,1240,36.8,1,No,95.9
2025-02-16,Reading,Chilled,2896,94.64,5,No,95.7
2025-09-26,Croydon,Chilled,4324,36.75,4,Yes,95.3
2026-01-05,Reading,Chilled,1813,22.47,6,No,95.4
2025-04-16,Reading,Soft Drinks,5750,51.3,5,No,92.8
2025-04-30,Bristol,Own Brand,1782,18.66,1,Yes,93.7
2025-02-27,Croydon,Fresh Food,5055,21.4,2,Yes,98.6
2025-12-12,Croydon,Own Brand,1007,48.82,4,Yes,96.3
2026-04-19,London Central,Soft Drinks,4773,79.64,5,No,97.1
2025-04-27,Croydon,Soft Drinks,5670,67.24,7,Yes,94.3
2025-05-07,London Central,Snacks,4139,29.93,2,Yes,95.2
2026-01-28,Camden,Fruit & Veg,4789,35.66,5,No,96.1
2025-02-27,Camden,Fresh Food,5051,28.28,4,No,97.4
2026-05-28,Camden,Chilled,1517,28.22,1,Yes,94.7
2025-04-06,Birmingham,Food To Go,4190,29.07,6,No,96.0
2025-04-28,Croydon,Chilled,4102,60.77,7,No,96.4
2026-05-03,Birmingham,Own Brand,5578,71.64,6,Yes,96.9
2025-08-25,Croydon,Soft Drinks,3716,50.86,4,No,94.6
2025-09-29,London Central,Fresh Food,1578,20.62,3,Yes,97.6
2025-07-08,Birmingham,Meal Deals,5482,38.3,6,Yes,92.2
2026-03-23,Birmingham,Fresh Food,5507,34.67,5,Yes,92.7
2025-09-04,Birmingham,Fresh Food,2865,49.47,2,Yes,96.0
2025-03-17,Reading,Fruit & Veg,2376,46.46,2,Yes,95.9
2025-06-03,London Central,Chilled,3938,50.33,7,Yes,94.5
2026-03-11,Camden,Fruit & Veg,1905,30.62,6,No,94.1
2025-03-27,London Central,Meal Deals,1964,20.7,4,No,94.1
2025-10-12,Reading,Meal Deals,2976,42.95,7,Yes,93.2
2025-08-08,Croydon,Snacks,5759,20.98,4,Yes,94.9
2025-03-10,London Central,Own Brand,5920,43.23,4,No,91.9
2025-02-16,Birmingham,Food To Go,2887,68.69,2,Yes,97.3
2025-04-04,Camden,Snacks,3447,41.91,1,Yes,95.8
2026-03-29,Camden,Soft Drinks,1991,50.42,2,Yes,97.6
2025-07-23,Croydon,Fruit & Veg,4556,15.51,1,No,95.3
2025-08-06,London Central,Fruit & Veg,4959,32.76,7,No,94.9
2026-04-19,Reading,Snacks,4604,37.81,7,No,95.3
2026-03-08,Croydon,Soft Drinks,2083,50.99,7,Yes,93.6
2025-12-07,London Central,Fresh Food,1434,36.19,4,No,92.5
2025-10-16,Bristol,Soft Drinks,1020,35.69,3,Yes,93.0
2025-09-11,Camden,Chilled,3922,22.85,2,Yes,94.1
2025-12-23,Reading,Snacks,2925,44.06,4,Yes,93.2
2025-01-23,Birmingham,Own Brand,2472,100.53,2,No,97.7
2025-04-10,Reading,Soft Drinks,2099,60.71,4,Yes,93.6
2025-06-29,Birmingham,Fresh Food,3637,57.95,2,Yes,95.8
2025-08-11,Reading,Soft Drinks,1389,60.81,5,No,96.2
2026-03-18,Camden,Fruit & Veg,4413,39.46,2,No,97.5
2025-11-21,Birmingham,Food To Go,3615,28.08,5,No,96.4
2026-05-31,London Central,Fruit & Veg,2354,39.03,1,Yes,94.7
2025-01-16,Birmingham,Own Brand,5521,19.3,2,No,98.4
2025-12-02,Croydon,Meal Deals,1005,16.49,1,No,92.5
2025-09-15,London Central,Food To Go,1190,29.03,3,No,93.1
2026-05-12,Croydon,Meal Deals,1147,38.74,6,Yes,95.4
2025-06-09,Reading,Soft Drinks,5500,21.83,6,Yes,95.2
2026-04-20,London Central,Chilled,5353,29.32,5,Yes,96.6
2026-01-15,Reading,Own Brand,4550,57.1,2,Yes,95.3
2026-03-03,Bristol,Soft Drinks,5919,71.67,6,Yes,95.7
2025-09-25,Reading,Fresh Food,5105,17.63,1,Yes,97.0
2026-02-21,Reading,Soft Drinks,2110,31.1,6,Yes,95.3
2025-06-17,Croydon,Food To Go,4833,70.91,6,No,96.4
2025-02-12,Birmingham,Fruit & Veg,5933,59.81,4,Yes,93.5
2025-10-12,Bristol,Chilled,1624,57.09,6,Yes,93.6
2026-02-01,Reading,Meal Deals,5125,35.36,1,No,96.8
2025-01-12,Reading,Soft Drinks,3175,43.43,6,Yes,95.2
2025-10-29,Bristol,Soft Drinks,4149,52.35,2,Yes,95.3
2025-09-10,Bristol,Fruit & Veg,2078,83.65,6,Yes,93.6
2026-05-14,London Central,Chilled,4551,27.09,3,No,94.2
2025-02-04,Croydon,Snacks,3352,38.77,6,No,95.6
2025-03-31,Bristol,Meal Deals,1545,35.2,5,No,94.4
2026-02-22,Bristol,Soft Drinks,2195,33.13,4,No,93.3
2025-04-25,Camden,Soft Drinks,3069,50.35,7,Yes,93.3
2025-07-15,Birmingham,Snacks,4358,50.0,1,No,93.7
2026-05-16,Bristol,Meal Deals,3438,38.97,6,No,94.3
2026-05-08,Croydon,Food To Go,1616,66.99,6,No,94.4
2025-03-16,Birmingham,Food To Go,5244,52.18,2,No,98.1
2026-02-17,Birmingham,Own Brand,4343,59.05,7,Yes,96.8
2026-01-11,Reading,Own Brand,2811,27.21,2,Yes,95.6
2026-02-24,Reading,Fresh Food,1171,39.65,5,No,98.7
2025-10-04,Reading,Fruit & Veg,5142,58.07,7,No,94.8
2026-01-29,Reading,Chilled,1625,22.19,4,No,96.0
2026-04-02,Camden,Soft Drinks,5063,50.9,1,No,95.7
2025-07-11,Bristol,Meal Deals,3254,21.94,1,No,95.9
2025-04-09,Reading,Soft Drinks,1452,53.13,1,No,93.5
2025-04-06,London Central,Own Brand,2418,30.27,5,Yes,94.4
2025-07-09,Reading,Fresh Food,1753,45.39,5,Yes,93.4
2025-02-06,Bristol,Meal Deals,4372,28.84,6,No,95.8
2026-01-04,Reading,Meal Deals,3723,23.55,4,No,95.0
2025-10-06,Camden,Soft Drinks,4010,64.43,1,No,91.2
2025-08-05,Croydon,Fruit & Veg,3911,19.91,1,No,96.0
2025-09-30,Croydon,Fresh Food,2225,24.72,6,No,95.4
2025-03-03,Bristol,Fruit & Veg,1167,69.4,4,Yes,98.4
2025-12-08,Croydon,Fresh Food,4685,28.61,7,Yes,96.9
2026-02-01,Croydon,Soft Drinks,1085,20.26,4,No,97.2
2025-01-19,London Central,Fresh Food,2677,41.59,4,Yes,92.7
2025-06-26,Bristol,Food To Go,2982,32.73,2,No,97.2
2026-01-31,Bristol,Meal Deals,5944,26.72,4,No,94.6
2026-03-21,Croydon,Chilled,2486,47.88,3,Yes,93.6
2025-08-21,Croydon,Soft Drinks,1441,15.5,5,No,90.3
2025-03-17,Croydon,Snacks,1270,37.13,4,Yes,97.6
2025-09-22,Birmingham,Chilled,1343,17.58,2,Yes,94.4
2026-03-31,Camden,Soft Drinks,2206,63.3,7,Yes,94.8
2026-01-19,Reading,Chilled,4081,93.21,3,No,95.6
