date,store,category,customer_id,revenue,units,member,availability_pct,month,year,month_name,day_name,avg_basket_value,is_member
2026-03-04,Camden,Own Brand,4013,53.3,1,Yes,94.2,2026-03,2026,March,Wednesday,53.3,1
2026-05-24,Reading,Chilled,2667,58.72,4,No,93.6,2026-05,2026,May,Sunday,14.68,0
2025-02-04,Bristol,Own Brand,5588,38.35,5,Yes,97.2,2025-02,2025,February,Tuesday,7.67,1
2025-07-25,Reading,Snacks,5700,9.61,4,Yes,95.6,2025-07,2025,July,Friday,2.4025,1
2025-03-22,Croydon,Soft Drinks,5066,20.13,5,No,96.5,2025-03,2025,March,Saturday,4.026,0
2026-01-23,Bristol,Soft Drinks,1947,27.18,2,Yes,94.6,2026-01,2026,January,Friday,13.59,1
2025-01-02,Reading,Chilled,5389,40.62,6,Yes,96.6,2025-01,2025,January,Thursday,6.77,1
2026-01-25,Reading,Food To Go,2171,56.99,5,No,92.9,2026-01,2026,January,Sunday,11.398,0
2025-04-16,Bristol,Chilled,1171,22.02,4,Yes,93.2,2025-04,2025,April,Wednesday,5.505,1
2026-04-22,Croydon,Snacks,5626,40.04,6,Yes,96.9,2026-04,2026,April,Wednesday,6.673333333333333,1
2026-02-06,Reading,Fresh Food,2143,15.67,7,No,94.9,2026-02,2026,February,Friday,2.2385714285714284,0
2025-06-11,Bristol,Chilled,2859,64.11,6,No,94.5,2025-06,2025,June,Wednesday,10.685,0
2025-07-21,Birmingham,Fresh Food,3188,21.02,4,No,93.2,2025-07,2025,July,Monday,5.255,0
2025-09-27,Birmingham,Snacks,3493,36.71,4,Yes,96.6,2025-09,2025,September,Saturday,9.1775,1
2025-09-28,Croydon,Meal Deals,4577,39.69,7,Yes,98.7,2025-09,2025,September,Sunday,5.67,1
2026-04-01,Bristol,Snacks,1188,39.78,1,Yes,96.2,2026-04,2026,April,Wednesday,39.78,1
2026-04-07,Birmingham,Fruit & Veg,5076,20.9,2,Yes,94.1,2026-04,2026,April,Tuesday,10.45,1
2025-09-09,Bristol,Fresh Food,1157,31.81,5,Yes,97.8,2025-09,2025,September,Tuesday,6.362,1
2025-10-23,Reading,Soft Drinks,3717,21.6,3,No,95.7,2025-10,2025,October,Thursday,7.2,0
2025-12-04,Croydon,Chilled,2970,38.66,5,Yes,94.1,2025-12,2025,December,Thursday,7.731999999999999,1
2025-02-22,Birmingham,Meal Deals,1245,25.85,4,Yes,97.6,2025-02,2025,February,Saturday,6.4625,1
2025-08-05,Reading,Snacks,3903,35.73,3,Yes,94.6,2025-08,2025,August,Tuesday,11.909999999999998,1
2025-07-07,London Central,Fresh Food,3795,42.96,3,No,92.1,2025-07,2025,July,Monday,14.32,0
2026-01-15,London Central,Meal Deals,4824,34.38,5,No,94.4,2026-01,2026,January,Thursday,6.876,0
2026-05-08,Croydon,Food To Go,3377,31.98,7,No,96.1,2026-05,2026,May,Friday,4.5685714285714285,0
2025-02-10,Birmingham,Fruit & Veg,1849,26.46,5,Yes,93.6,2025-02,2025,February,Monday,5.292,1
2025-06-06,Birmingham,Food To Go,2810,34.84,5,Yes,91.3,2025-06,2025,June,Friday,6.968000000000001,1
2025-01-15,Birmingham,Snacks,4986,22.94,5,Yes,97.9,2025-01,2025,January,Wednesday,4.588,1
2025-12-10,Reading,Food To Go,5264,39.85,7,Yes,94.0,2025-12,2025,December,Wednesday,5.692857142857143,1
2025-05-09,Birmingham,Fruit & Veg,4030,37.11,2,Yes,93.7,2025-05,2025,May,Friday,18.555,1
2026-04-17,Reading,Fruit & Veg,3307,75.14,1,Yes,92.3,2026-04,2026,April,Friday,75.14,1
2025-03-04,Croydon,Own Brand,4076,67.07,1,Yes,93.4,2025-03,2025,March,Tuesday,67.07,1
2025-05-19,Birmingham,Fruit & Veg,3344,19.35,5,Yes,91.9,2025-05,2025,May,Monday,3.87,1
2026-05-14,Croydon,Meal Deals,1619,45.69,1,Yes,92.4,2026-05,2026,May,Thursday,45.69,1
2026-01-27,Birmingham,Own Brand,3902,34.13,5,Yes,95.0,2026-01,2026,January,Tuesday,6.8260000000000005,1
2026-02-23,London Central,Fruit & Veg,3407,41.64,5,Yes,91.8,2026-02,2026,February,Monday,8.328,1
2025-10-16,Camden,Food To Go,5452,28.86,5,Yes,92.1,2025-10,2025,October,Thursday,5.772,1
2026-01-14,Croydon,Soft Drinks,4004,34.58,6,No,95.4,2026-01,2026,January,Wednesday,5.763333333333333,0
2026-05-05,Birmingham,Soft Drinks,4914,28.35,2,Yes,93.8,2026-05,2026,May,Tuesday,14.175,1
2025-08-19,Camden,Own Brand,3486,19.43,4,No,95.7,2025-08,2025,August,Tuesday,4.8575,0
2025-02-10,Croydon,Fruit & Veg,4402,69.08,1,Yes,94.3,2025-02,2025,February,Monday,69.08,1
2025-01-28,Bristol,Meal Deals,4596,12.91,1,Yes,94.6,2025-01,2025,January,Tuesday,12.91,1
2025-05-15,Birmingham,Chilled,2677,17.47,2,No,96.6,2025-05,2025,May,Thursday,8.735,0
2025-07-20,Bristol,Fresh Food,5039,20.69,2,No,93.9,2025-07,2025,July,Sunday,10.345,0
2025-02-02,London Central,Snacks,2304,60.62,5,No,96.4,2025-02,2025,February,Sunday,12.123999999999999,0
2025-02-17,Birmingham,Meal Deals,5093,36.13,5,Yes,94.2,2025-02,2025,February,Monday,7.226000000000001,1
2026-05-18,London Central,Chilled,2963,21.73,6,Yes,93.4,2026-05,2026,May,Monday,3.6216666666666666,1
2026-02-11,Camden,Snacks,4307,32.42,6,Yes,92.9,2026-02,2026,February,Wednesday,5.403333333333333,1
2025-04-09,Croydon,Chilled,2361,56.78,4,Yes,91.7,2025-04,2025,April,Wednesday,14.195,1
2026-04-07,Reading,Chilled,5294,67.14,1,Yes,92.5,2026-04,2026,April,Tuesday,67.14,1
2025-01-05,London Central,Own Brand,2787,35.96,2,Yes,91.5,2025-01,2025,January,Sunday,17.98,1
2025-08-06,Reading,Soft Drinks,2073,33.61,4,Yes,93.0,2025-08,2025,August,Wednesday,8.4025,1
2026-05-18,Reading,Fresh Food,2165,30.76,1,No,96.6,2026-05,2026,May,Monday,30.76,0
2026-02-02,Croydon,Chilled,4599,19.89,4,No,95.0,2026-02,2026,February,Monday,4.9725,0
2026-01-28,Camden,Fruit & Veg,3717,41.25,4,Yes,94.2,2026-01,2026,January,Wednesday,10.3125,1
2025-07-26,Croydon,Snacks,4153,24.0,7,No,93.6,2025-07,2025,July,Saturday,3.4285714285714284,0
2025-01-15,Birmingham,Meal Deals,5126,26.74,5,No,94.8,2025-01,2025,January,Wednesday,5.348,0
2026-04-06,London Central,Soft Drinks,4055,52.16,4,Yes,95.1,2026-04,2026,April,Monday,13.04,1
2025-08-29,Reading,Snacks,1659,56.02,5,Yes,92.8,2025-08,2025,August,Friday,11.204,1
2025-04-06,Croydon,Own Brand,5642,13.4,1,No,95.9,2025-04,2025,April,Sunday,13.4,0
2026-04-30,Croydon,Fruit & Veg,3582,49.51,6,Yes,94.3,2026-04,2026,April,Thursday,8.251666666666667,1
2026-02-11,Croydon,Fruit & Veg,2129,40.04,1,No,95.6,2026-02,2026,February,Wednesday,40.04,0
2025-08-19,London Central,Chilled,3274,56.29,5,Yes,94.9,2025-08,2025,August,Tuesday,11.258,1
2025-06-20,Camden,Fruit & Veg,5466,36.5,6,Yes,92.2,2025-06,2025,June,Friday,6.083333333333333,1
2025-02-05,Croydon,Fresh Food,2468,33.11,7,No,97.6,2025-02,2025,February,Wednesday,4.7299999999999995,0
2025-06-09,London Central,Own Brand,3102,40.66,3,No,95.0,2025-06,2025,June,Monday,13.553333333333333,0
2025-08-31,Reading,Fruit & Veg,4266,19.11,6,Yes,94.3,2025-08,2025,August,Sunday,3.185,1
2025-03-27,Birmingham,Chilled,3471,50.16,4,No,96.2,2025-03,2025,March,Thursday,12.54,0
2025-01-28,Bristol,Snacks,2151,31.31,1,Yes,92.7,2025-01,2025,January,Tuesday,31.31,1
2025-12-06,London Central,Own Brand,1092,26.85,7,No,91.9,2025-12,2025,December,Saturday,3.835714285714286,0
2025-11-27,Bristol,Fruit & Veg,3566,23.26,4,No,96.1,2025-11,2025,November,Thursday,5.815,0
2026-05-21,Croydon,Soft Drinks,2281,45.36,7,Yes,97.3,2026-05,2026,May,Thursday,6.4799999999999995,1
2025-12-14,Croydon,Own Brand,3900,58.51,6,Yes,95.6,2025-12,2025,December,Sunday,9.751666666666667,1
2026-04-18,London Central,Own Brand,3799,46.4,3,Yes,96.6,2026-04,2026,April,Saturday,15.466666666666667,1
2025-08-19,Bristol,Meal Deals,4177,36.71,4,Yes,92.5,2025-08,2025,August,Tuesday,9.1775,1
2025-07-09,Croydon,Soft Drinks,5511,37.83,3,Yes,94.3,2025-07,2025,July,Wednesday,12.61,1
2025-08-13,Reading,Soft Drinks,3604,32.28,2,No,93.7,2025-08,2025,August,Wednesday,16.14,0
2026-01-20,Camden,Snacks,4881,58.05,3,Yes,97.1,2026-01,2026,January,Tuesday,19.349999999999998,1
2026-01-12,Camden,Food To Go,3413,34.04,1,Yes,96.0,2026-01,2026,January,Monday,34.04,1
2025-10-10,Croydon,Meal Deals,2544,55.53,6,No,97.1,2025-10,2025,October,Friday,9.255,0
2025-09-16,Bristol,Soft Drinks,4530,27.78,5,Yes,93.8,2025-09,2025,September,Tuesday,5.556,1
2025-12-25,Birmingham,Soft Drinks,3646,74.39,5,Yes,92.7,2025-12,2025,December,Thursday,14.878,1
2026-04-01,Croydon,Food To Go,5784,35.02,4,Yes,97.7,2026-04,2026,April,Wednesday,8.755,1
2026-02-15,Birmingham,Snacks,3058,45.65,6,No,95.1,2026-02,2026,February,Sunday,7.608333333333333,0
2025-11-14,Birmingham,Meal Deals,5514,14.61,7,Yes,97.1,2025-11,2025,November,Friday,2.087142857142857,1
2025-08-13,Bristol,Soft Drinks,2145,52.62,2,No,94.9,2025-08,2025,August,Wednesday,26.31,0
2025-08-22,Birmingham,Chilled,1910,20.91,4,Yes,99.4,2025-08,2025,August,Friday,5.2275,1
2026-01-09,Reading,Snacks,4306,67.53,3,No,97.4,2026-01,2026,January,Friday,22.51,0
2026-04-17,Bristol,Meal Deals,2566,37.28,5,No,94.7,2026-04,2026,April,Friday,7.456,0
2025-08-21,Croydon,Soft Drinks,3395,21.49,3,No,95.0,2025-08,2025,August,Thursday,7.163333333333333,0
2025-04-23,Reading,Soft Drinks,4005,34.29,5,Yes,95.0,2025-04,2025,April,Wednesday,6.858,1
2026-05-12,London Central,Food To Go,5507,45.34,5,Yes,92.7,2026-05,2026,May,Tuesday,9.068000000000001,1
2026-03-18,Camden,Meal Deals,5248,53.32,5,No,94.0,2026-03,2026,March,Wednesday,10.664,0
2025-09-25,Croydon,Chilled,1091,49.94,6,Yes,93.9,2025-09,2025,September,Thursday,8.323333333333332,1
2026-05-25,Croydon,Snacks,4992,51.48,7,Yes,95.5,2026-05,2026,May,Monday,7.354285714285714,1
2026-01-21,Croydon,Fruit & Veg,1330,26.55,7,No,93.4,2026-01,2026,January,Wednesday,3.792857142857143,0
2026-01-22,Reading,Fresh Food,1954,21.62,7,No,94.7,2026-01,2026,January,Thursday,3.0885714285714285,0
2025-04-23,London Central,Chilled,4780,29.65,1,Yes,94.3,2025-04,2025,April,Wednesday,29.65,1
2025-03-22,Bristol,Fruit & Veg,3601,18.33,6,No,95.2,2025-03,2025,March,Saturday,3.0549999999999997,0
2025-04-23,London Central,Chilled,3977,15.84,3,No,97.9,2025-04,2025,April,Wednesday,5.28,0
2025-01-02,Reading,Meal Deals,5289,27.63,7,Yes,97.2,2025-01,2025,January,Thursday,3.947142857142857,1
2025-08-08,Croydon,Fruit & Veg,1529,69.81,6,No,92.4,2025-08,2025,August,Friday,11.635,0
2025-08-13,Camden,Meal Deals,3892,63.8,7,No,94.9,2025-08,2025,August,Wednesday,9.114285714285714,0
2026-01-20,Croydon,Fruit & Veg,2266,18.73,4,No,94.4,2026-01,2026,January,Tuesday,4.6825,0
2026-02-07,Bristol,Chilled,2473,30.0,2,Yes,93.7,2026-02,2026,February,Saturday,15.0,1
2025-05-10,Birmingham,Food To Go,5734,48.92,4,No,99.3,2025-05,2025,May,Saturday,12.23,0
2025-02-22,Camden,Chilled,2597,35.63,6,Yes,93.9,2025-02,2025,February,Saturday,5.9383333333333335,1
2026-02-20,Croydon,Meal Deals,3525,42.88,3,Yes,94.1,2026-02,2026,February,Friday,14.293333333333335,1
2025-09-04,Camden,Chilled,5793,11.98,2,No,98.5,2025-09,2025,September,Thursday,5.99,0
2026-03-15,Birmingham,Own Brand,4761,49.54,4,Yes,96.9,2026-03,2026,March,Sunday,12.385,1
2025-07-22,London Central,Own Brand,3742,47.11,2,Yes,94.1,2025-07,2025,July,Tuesday,23.555,1
2025-07-03,Reading,Fruit & Veg,5635,12.23,3,Yes,96.5,2025-07,2025,July,Thursday,4.076666666666667,1
2025-05-03,Croydon,Own Brand,5425,22.97,5,Yes,94.5,2025-05,2025,May,Saturday,4.593999999999999,1
2026-02-05,Bristol,Fresh Food,1469,22.4,3,Yes,94.7,2026-02,2026,February,Thursday,7.466666666666666,1
2025-10-21,London Central,Fruit & Veg,4830,18.6,7,Yes,93.4,2025-10,2025,October,Tuesday,2.6571428571428575,1
2025-10-07,Croydon,Own Brand,1533,14.71,1,No,90.1,2025-10,2025,October,Tuesday,14.71,0
2025-07-17,London Central,Soft Drinks,5562,19.77,2,Yes,92.2,2025-07,2025,July,Thursday,9.885,1
2026-05-26,Bristol,Chilled,5055,28.44,3,No,92.8,2026-05,2026,May,Tuesday,9.48,0
2025-05-24,Croydon,Snacks,4679,37.97,5,No,95.8,2025-05,2025,May,Saturday,7.593999999999999,0
2025-07-20,Birmingham,Chilled,5087,31.16,5,Yes,95.3,2025-07,2025,July,Sunday,6.232,1
2025-05-04,Birmingham,Own Brand,1761,61.8,3,Yes,97.2,2025-05,2025,May,Sunday,20.599999999999998,1
2025-07-06,Bristol,Food To Go,1890,17.96,4,No,92.6,2025-07,2025,July,Sunday,4.49,0
2025-11-22,Camden,Meal Deals,3355,12.36,3,No,98.6,2025-11,2025,November,Saturday,4.12,0
2026-04-09,Bristol,Snacks,2955,31.02,5,Yes,98.4,2026-04,2026,April,Thursday,6.204,1
2025-12-15,Camden,Fruit & Veg,3971,12.91,3,No,95.1,2025-12,2025,December,Monday,4.303333333333334,0
2026-02-07,Croydon,Food To Go,2672,23.71,1,Yes,93.6,2026-02,2026,February,Saturday,23.71,1
2025-12-12,Camden,Chilled,3836,38.55,4,Yes,93.7,2025-12,2025,December,Friday,9.6375,1
2026-05-26,Croydon,Own Brand,5927,41.95,3,Yes,95.4,2026-05,2026,May,Tuesday,13.983333333333334,1
2025-05-27,Croydon,Fruit & Veg,5939,24.41,5,Yes,98.8,2025-05,2025,May,Tuesday,4.882,1
2025-05-28,Reading,Fruit & Veg,4644,44.7,3,Yes,94.8,2025-05,2025,May,Wednesday,14.9,1
2026-05-04,Croydon,Soft Drinks,3297,17.18,7,No,91.8,2026-05,2026,May,Monday,2.454285714285714,0
2025-12-04,Camden,Soft Drinks,5061,40.26,3,No,98.8,2025-12,2025,December,Thursday,13.42,0
2026-04-18,Reading,Own Brand,4166,14.48,2,Yes,94.2,2026-04,2026,April,Saturday,7.24,1
2025-05-31,Reading,Own Brand,2319,104.61,3,No,97.9,2025-05,2025,May,Saturday,34.87,0
2026-02-19,Croydon,Fresh Food,1183,55.27,1,No,96.3,2026-02,2026,February,Thursday,55.27,0
2025-10-25,Bristol,Soft Drinks,2283,23.29,5,Yes,94.7,2025-10,2025,October,Saturday,4.6579999999999995,1
2025-09-20,Bristol,Meal Deals,3846,35.83,6,Yes,96.9,2025-09,2025,September,Saturday,5.971666666666667,1
2025-05-24,Birmingham,Snacks,3233,20.49,2,No,93.5,2025-05,2025,May,Saturday,10.245,0
2025-12-12,Reading,Fruit & Veg,5088,45.43,6,No,94.4,2025-12,2025,December,Friday,7.571666666666666,0
2025-01-02,Croydon,Soft Drinks,2432,57.98,3,Yes,93.9,2025-01,2025,January,Thursday,19.326666666666664,1
2025-10-31,Bristol,Own Brand,4140,59.79,7,No,94.6,2025-10,2025,October,Friday,8.541428571428572,0
2025-09-11,Croydon,Fresh Food,2796,58.06,4,Yes,96.1,2025-09,2025,September,Thursday,14.515,1
2026-03-29,Croydon,Own Brand,5722,54.37,1,Yes,96.1,2026-03,2026,March,Sunday,54.37,1
2025-02-06,Reading,Own Brand,3055,40.56,1,Yes,91.9,2025-02,2025,February,Thursday,40.56,1
2025-06-09,Birmingham,Own Brand,4336,35.74,7,No,93.9,2025-06,2025,June,Monday,5.105714285714286,0
2025-01-09,Reading,Chilled,1782,31.67,1,Yes,94.3,2025-01,2025,January,Thursday,31.67,1
2025-08-21,London Central,Snacks,2507,24.52,7,Yes,96.2,2025-08,2025,August,Thursday,3.5028571428571427,1
2025-04-09,Bristol,Soft Drinks,5870,30.37,2,Yes,92.2,2025-04,2025,April,Wednesday,15.185,1
2025-07-27,Bristol,Fruit & Veg,4854,28.9,7,No,96.4,2025-07,2025,July,Sunday,4.128571428571428,0
2025-05-11,Bristol,Chilled,1676,17.99,7,No,92.7,2025-05,2025,May,Sunday,2.57,0
2026-02-08,Camden,Own Brand,2830,31.57,3,Yes,95.5,2026-02,2026,February,Sunday,10.523333333333333,1
2025-06-01,Croydon,Meal Deals,5090,33.01,1,No,97.2,2025-06,2025,June,Sunday,33.01,0
2025-02-23,Reading,Fruit & Veg,5306,20.11,3,Yes,92.5,2025-02,2025,February,Sunday,6.703333333333333,1
2025-04-30,Bristol,Chilled,2360,50.55,4,Yes,95.5,2025-04,2025,April,Wednesday,12.6375,1
2026-02-24,London Central,Meal Deals,5585,39.63,7,Yes,94.6,2026-02,2026,February,Tuesday,5.661428571428572,1
2026-02-26,Bristol,Meal Deals,3686,18.95,3,Yes,93.0,2026-02,2026,February,Thursday,6.316666666666666,1
2025-04-14,Birmingham,Snacks,1190,38.68,6,Yes,92.6,2025-04,2025,April,Monday,6.446666666666666,1
2025-09-11,Croydon,Fruit & Veg,1842,27.61,3,No,93.6,2025-09,2025,September,Thursday,9.203333333333333,0
2025-08-15,Croydon,Soft Drinks,1334,31.29,3,No,93.4,2025-08,2025,August,Friday,10.43,0
2025-04-22,Reading,Soft Drinks,2110,35.23,7,No,94.6,2025-04,2025,April,Tuesday,5.032857142857142,0
2026-05-25,Camden,Fresh Food,1578,61.09,5,No,94.1,2026-05,2026,May,Monday,12.218,0
2026-04-18,Reading,Chilled,1061,27.95,6,No,95.8,2026-04,2026,April,Saturday,4.658333333333333,0
2025-04-09,Bristol,Fresh Food,1386,41.37,2,Yes,96.6,2025-04,2025,April,Wednesday,20.685,1
2025-06-02,Birmingham,Food To Go,2169,25.51,7,No,91.9,2025-06,2025,June,Monday,3.6442857142857146,0
2025-12-04,London Central,Soft Drinks,3200,49.6,3,No,94.5,2025-12,2025,December,Thursday,16.533333333333335,0
2025-06-12,Reading,Chilled,5714,41.94,1,No,93.1,2025-06,2025,June,Thursday,41.94,0
2025-06-10,Camden,Snacks,2683,32.52,7,Yes,92.8,2025-06,2025,June,Tuesday,4.645714285714286,1
2026-02-02,Reading,Fresh Food,1486,57.19,5,Yes,91.9,2026-02,2026,February,Monday,11.437999999999999,1
2025-10-04,Croydon,Snacks,4732,80.82,3,No,91.7,2025-10,2025,October,Saturday,26.939999999999998,0
2026-05-19,Bristol,Snacks,1540,32.57,5,No,94.0,2026-05,2026,May,Tuesday,6.514,0
2026-01-27,Bristol,Own Brand,3060,41.79,2,Yes,95.8,2026-01,2026,January,Tuesday,20.895,1
2025-05-15,Bristol,Own Brand,5246,35.73,7,No,95.8,2025-05,2025,May,Thursday,5.104285714285714,0
2025-07-14,Bristol,Snacks,2238,108.19,5,Yes,92.9,2025-07,2025,July,Monday,21.637999999999998,1
2026-02-05,Bristol,Fresh Food,1990,32.83,1,No,92.7,2026-02,2026,February,Thursday,32.83,0
2025-02-02,Bristol,Own Brand,5467,26.89,3,Yes,95.5,2025-02,2025,February,Sunday,8.963333333333333,1
2026-04-05,London Central,Food To Go,3299,28.16,1,Yes,94.1,2026-04,2026,April,Sunday,28.16,1
2026-04-15,Camden,Meal Deals,4907,57.51,7,Yes,96.8,2026-04,2026,April,Wednesday,8.215714285714286,1
2026-01-10,Bristol,Meal Deals,5288,52.03,7,Yes,92.8,2026-01,2026,January,Saturday,7.432857142857143,1
2025-01-22,Camden,Own Brand,2080,50.29,4,Yes,91.3,2025-01,2025,January,Wednesday,12.5725,1
2025-02-07,Birmingham,Fresh Food,1197,52.53,5,No,96.2,2025-02,2025,February,Friday,10.506,0
2025-08-18,Bristol,Meal Deals,3194,52.5,5,No,91.2,2025-08,2025,August,Monday,10.5,0
2025-12-31,Reading,Fruit & Veg,2598,41.1,5,Yes,92.1,2025-12,2025,December,Wednesday,8.22,1
2026-03-14,Bristol,Meal Deals,2600,41.25,6,No,93.7,2026-03,2026,March,Saturday,6.875,0
2025-10-10,Croydon,Soft Drinks,4692,27.78,7,Yes,94.4,2025-10,2025,October,Friday,3.968571428571429,1
2025-01-27,London Central,Fresh Food,4865,31.89,7,Yes,96.2,2025-01,2025,January,Monday,4.555714285714286,1
2025-08-14,Reading,Own Brand,1683,53.12,2,Yes,93.0,2025-08,2025,August,Thursday,26.56,1
2025-10-04,Reading,Own Brand,4083,24.02,6,Yes,97.6,2025-10,2025,October,Saturday,4.003333333333333,1
2025-10-11,Croydon,Meal Deals,4989,36.92,1,No,92.0,2025-10,2025,October,Saturday,36.92,0
2026-04-26,Bristol,Fresh Food,1332,28.81,7,Yes,94.3,2026-04,2026,April,Sunday,4.115714285714286,1
2026-03-29,London Central,Food To Go,2771,22.48,4,No,96.7,2026-03,2026,March,Sunday,5.62,0
2026-05-31,Reading,Fruit & Veg,5200,78.74,2,No,96.8,2026-05,2026,May,Sunday,39.37,0
2025-07-11,London Central,Own Brand,3721,43.89,2,No,89.1,2025-07,2025,July,Friday,21.945,0
2026-05-27,Bristol,Own Brand,2064,90.37,7,No,94.4,2026-05,2026,May,Wednesday,12.91,0
2025-01-17,Birmingham,Own Brand,1888,20.53,4,No,95.6,2025-01,2025,January,Friday,5.1325,0
2025-06-21,Reading,Soft Drinks,3923,81.19,7,Yes,94.3,2025-06,2025,June,Saturday,11.598571428571429,1
